index,name,speed,ipaddr4,ipaddr6,asn,updated
1,AMS-IX,100000,80.249.211.27,2001:7f8:1::a504:6489:1,46489,2017-06-14T20:27:19Z
2,AMS-IX,100000,80.249.210.197,2001:7f8:1::a504:6489:2,46489,2017-06-14T21:42:55Z
3,BBIX Tokyo,10000,218.100.6.113,2001:de8:c::4:6489:2,46489,2018-11-15T12:47:34Z
4,BBIX Tokyo,10000,218.100.6.112,2001:de8:c::4:6489:1,46489,2018-11-15T12:47:34Z
5,BCIX: BCIX Peering LAN,100000,193.178.185.107,2001:7f8:19:1::b599:2,46489,2017-09-12T14:06:24Z
6,BCIX: BCIX Peering LAN,100000,193.178.185.106,2001:7f8:19:1::b599:1,46489,2017-09-12T14:05:36Z
7,CoreSite - Any2 California,20000,206.72.211.48,2001:504:13::211:48,46489,2017-06-15T03:25:02Z
8,CoreSite - Any2 California,20000,206.72.210.165,2001:504:13::210:165,46489,2017-06-15T03:25:02Z
9,CoreSite - Any2 Denver ,20000,206.51.46.9,2605:6c00:303:303::9,46489,2017-04-27T16:39:02Z
10,CoreSite - Any2 Denver ,20000,206.51.46.19,2605:6c00:303:303::19,46489,2017-04-27T16:39:49Z
11,CyrusOne IX Houston,10000,198.32.96.50,2001:478:96::50,46489,2017-05-08T15:26:16Z
12,CyrusOne IX Houston,10000,198.32.96.49,2001:478:96::49,46489,2017-05-08T15:25:41Z
13,DATAIX,100000,178.18.226.109,2a03:5f80:4::,46489,2020-03-27T17:53:51Z
14,DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN,100000,80.81.194.181,2001:7f8::b599:0:1,46489,2020-04-10T20:52:14Z
15,DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN,100000,80.81.193.81,2001:7f8::b599:0:2,46489,2020-04-10T20:52:14Z
16,DE-CIX Madrid: DE-CIX Madrid Peering LAN,10000,185.1.68.59,2001:7f8:a0::b599:0:1,46489,2020-02-19T04:07:27Z
17,DE-CIX Madrid: DE-CIX Madrid Peering LAN,10000,185.1.68.60,2001:7f8:a0::b599:0:2,46489,2020-02-19T04:07:27Z
18,DE-CIX Marseille: DE-CIX Marseille Peering LAN,10000,185.1.47.45,2001:7f8:36::b599:0:1,46489,2018-06-01T00:20:41Z
19,DE-CIX Marseille: DE-CIX Marseille Peering LAN,10000,185.1.47.46,2001:7f8:36::b599:0:2,46489,2018-06-01T00:20:45Z
20,Digital Realty Atlanta,20000,198.32.132.239,2001:478:132::239,46489,2017-07-21T20:30:56Z
21,Digital Realty Atlanta,20000,198.32.132.238,2001:478:132::238,46489,2017-07-21T20:28:54Z
22,ESPANIX Madrid Lower LAN,20000,193.149.1.41,2001:7f8:f::41,46489,2017-03-15T08:35:50Z
23,ESPANIX Madrid Upper LAN,20000,185.79.175.141,2001:7f8:f:1::41,46489,2018-04-30T17:36:50Z
24,Equinix  Miami,10000,198.32.243.200,2001:504:0:6:0:4:6489:1,46489,2020-02-03T06:54:31Z
25,Equinix  Miami,10000,198.32.243.220,2001:504:0:6:0:4:6489:2,46489,2020-02-03T06:54:31Z
26,Equinix Ashburn,30000,206.126.236.193,2001:504:0:2:0:4:6489:1,46489,2017-03-30T23:59:46Z
27,Equinix Ashburn,30000,206.126.237.193,2001:504:0:2:0:4:6489:2,46489,2017-03-30T23:59:46Z
28,Equinix Chicago,20000,208.115.136.206,2001:504:0:4:0:4:6489:2,46489,2018-02-06T20:02:05Z
29,Equinix Chicago,20000,208.115.136.193,2001:504:0:4:0:4:6489:1,46489,2018-02-06T20:02:05Z
30,Equinix Dallas,10000,206.223.118.193,2001:504:0:5:0:4:6489:1,46489,2017-04-24T13:43:43Z
31,Equinix Dallas,10000,206.223.118.163,2001:504:0:5:0:4:6489:2,46489,2017-04-24T13:43:42Z
32,Equinix Hong Kong,20000,36.255.56.119,2001:de8:7::4:6489:2,46489,2019-03-14T20:53:58Z
33,Equinix Hong Kong,20000,36.255.56.118,2001:de8:7::4:6489:1,46489,2019-03-14T20:53:58Z
34,Equinix Los Angeles,10000,206.223.123.247,2001:504:0:3:0:4:6489:2,46489,2017-06-14T20:05:45Z
35,Equinix Los Angeles,10000,206.223.123.47,2001:504:0:3:0:4:6489:1,46489,2017-06-14T20:05:46Z
36,Equinix New York,30000,198.32.118.209,2001:504:f::4:6489:2,46489,2017-03-29T13:24:49Z
37,Equinix New York,30000,198.32.118.198,2001:504:f::4:6489:1,46489,2017-03-29T13:24:48Z
38,Equinix Palo Alto,30000,198.32.176.32,2001:504:d::4:6489:2,46489,2017-06-14T20:05:46Z
39,Equinix Palo Alto,30000,198.32.176.232,2001:504:d::4:6489:1,46489,2017-06-14T20:05:46Z
40,Equinix Singapore,10000,27.111.229.46,2001:de8:4::4:6489:2,46489,2017-03-23T09:42:25Z
41,Equinix Singapore,10000,27.111.229.36,2001:de8:4::4:6489:1,46489,2017-03-23T09:42:25Z
42,Equinix Sydney,10000,45.127.172.198,2001:de8:6::4:6489:2,46489,2017-09-21T02:59:00Z
43,Equinix Sydney,10000,45.127.172.71,2001:de8:6::4:6489:1,46489,2017-09-21T02:59:00Z
44,Equinix Tokyo,20000,203.190.230.119,2001:de8:5::4:6489:2,46489,2017-03-23T09:42:25Z
45,Equinix Tokyo,20000,203.190.230.118,2001:de8:5::4:6489:1,46489,2017-03-23T09:42:25Z
46,Equinix Warsaw,50000,195.182.218.225,2001:7f8:42::a504:6489:1,46489,2017-05-02T18:12:47Z
47,Equinix Warsaw,50000,195.182.218.245,2001:7f8:42::a504:6489:2,46489,2017-05-02T18:12:47Z
48,FL-IX,20000,206.41.108.58,2001:504:40:108::1:58,46489,2017-03-26T19:28:07Z
49,FL-IX,20000,206.41.108.57,2001:504:40:108::1:57,46489,2017-03-26T19:28:07Z
50,France-IX Paris,20000,37.49.237.25,2001:7f8:54::1:25,46489,2017-04-14T02:24:41Z
51,France-IX Paris,20000,37.49.237.26,2001:7f8:54::1:26,46489,2017-04-14T02:24:42Z
52,HKIX: HKIX Peering LAN,20000,123.255.90.46,2001:7fa:0:1::ca28:a02e,46489,2020-02-19T04:08:20Z
53,HKIX: HKIX Peering LAN,20000,123.255.90.47,2001:7fa:0:1::ca28:a02f,46489,2020-02-19T04:08:20Z
54,IX Australia (Sydney NSW): NSW-IX,10000,218.100.52.158,2001:7fa:11:4:0:b599:0:2,46489,2017-06-15T03:04:53Z
55,IX Australia (Sydney NSW): NSW-IX,10000,218.100.52.157,2001:7fa:11:4:0:b599:0:1,46489,2017-06-15T03:04:53Z
56,IX.br (PTT.br) Rio de Janeiro: ATM/MPLA,100000,45.6.53.10,2001:12f8:0:2::53:10,46489,2018-06-27T20:03:07Z
57,IX.br (PTT.br) Rio de Janeiro: ATM/MPLA,100000,45.6.53.9,2001:12f8:0:2::53:9,46489,2018-06-27T20:03:07Z
58,IX.br (PTT.br) São Paulo: ATM/MPLA,300000,187.16.221.244,2001:12f8::221:244,46489,2018-08-10T18:09:54Z
59,IX.br (PTT.br) São Paulo: ATM/MPLA,300000,187.16.221.243,2001:12f8::221:243,46489,2018-08-10T18:09:54Z
60,JPNAP Tokyo: Peering,30000,210.173.176.149,2001:7fa:7:1:0:4:6489:1,46489,2020-07-02T03:46:33Z
61,JPNAP Tokyo: Peering,30000,210.173.176.150,2001:7fa:7:1:0:4:6489:2,46489,2020-07-02T03:46:33Z
62,KINX,50000,192.145.251.188,2001:7fa:8::4b,46489,2020-07-02T04:40:12Z
63,KINX,50000,192.145.251.187,2001:7fa:8::4a,46489,2020-07-02T04:40:12Z
64,LINX LON1: Main,100000,195.66.225.25,2001:7f8:4::b599:2,46489,2017-06-15T19:35:17Z
65,LINX LON1: Main,100000,195.66.225.174,2001:7f8:4::b599:1,46489,2017-06-15T19:35:17Z
66,LONAP: LON0,10000,5.57.81.71,2001:7f8:17::b599:1,46489,2017-06-15T21:59:44Z
67,LONAP: LON0,10000,5.57.81.72,2001:7f8:17::b599:2,46489,2017-06-15T21:59:44Z
68,MIX-IT,10000,217.29.67.18,2001:7f8:b:100:1d1:a5d4:6489:18,46489,2018-04-04T09:06:06Z
69,MIX-IT,10000,217.29.67.17,2001:7f8:b:100:1d1:a5d4:6489:17,46489,2018-04-04T09:05:36Z
70,MSK-IX Moscow: MSK-IX peering network,100000,195.208.208.175,2001:7f8:20:101::208:175,46489,2020-03-27T17:54:01Z
71,MSK-IX Moscow: MSK-IX peering network,100000,195.208.208.73,2001:7f8:20:101::208:73,46489,2020-03-27T17:54:01Z
72,MegaIX Singapore,10000,103.41.12.32,2001:ded::20,46489,2017-03-16T23:22:23Z
73,MegaIX Singapore,10000,103.41.12.31,2001:ded::1f,46489,2017-03-16T23:22:23Z
74,MegaIX Sydney: MegaIX,10000,103.26.68.138,2001:dea:0:10::8a,46489,2017-03-16T23:22:24Z
75,MegaIX Sydney: MegaIX,10000,103.26.68.137,2001:dea:0:10::89,46489,2017-03-16T23:22:24Z
76,NIX.CZ: Public peering VLAN,100000,91.210.16.67,2001:7f8:14::7e:1,46489,2017-09-14T15:19:57Z
77,NIX.CZ: Public peering VLAN,100000,91.210.16.68,2001:7f8:14::7e:2,46489,2017-09-14T15:19:57Z
78,NL-ix: Main,20000,193.239.117.158,2001:7f8:13::a504:6489:1,46489,2017-03-16T11:21:14Z
79,NL-ix: Main,20000,193.239.117.161,2001:7f8:13::a504:6489:2,46489,2017-03-16T11:21:15Z
80,NWAX: Primary Peering VLAN,10000,198.32.195.121,2620:124:2000::121,46489,2020-02-03T06:58:01Z
81,NWAX: Primary Peering VLAN,10000,198.32.195.122,2620:124:2000::122,46489,2020-02-03T06:58:01Z
82,Netnod Stockholm BLUE -- MTU1500: STH-B -- MTU1500,100000,194.68.128.83,2001:7f8:d:fe::83,46489,2020-02-19T04:07:45Z
83,Netnod Stockholm BLUE -- MTU4470: STH-B -- MTU4470,100000,195.69.119.83,2001:7f8:d:fb::83,46489,2020-02-19T04:07:46Z
84,Netnod Stockholm GREEN -- MTU1500: STH-A -- MTU1500,100000,194.68.123.83,2001:7f8:d:ff::83,46489,2017-06-15T19:07:11Z
85,Netnod Stockholm GREEN -- MTU4470: STH-A -- MTU4470,100000,195.245.240.83,2001:7f8:d:fc::83,46489,2020-02-19T04:07:44Z
86,Peering.cz,30000,91.213.211.116,2001:7f8:7f::116,46489,2017-05-02T18:12:48Z
87,Peering.cz,30000,91.213.211.117,2001:7f8:7f::117,46489,2017-05-02T18:12:48Z
88,QIX,20000,198.179.18.70,2001:504:2d::18:70,46489,2020-02-19T04:07:40Z
89,SIX Seattle: MTU 1500,20000,206.81.81.54,2001:504:16::b599,46489,2017-03-14T23:25:33Z
90,SIX Seattle: MTU 1500,20000,206.81.81.55,2001:504:16::311:0:b599,46489,2017-03-14T23:25:34Z
91,SLIX - Salt Lake City Internet Exchange,10000,204.228.158.19,2607:fa18:1:f00::13,46489,2017-11-15T23:04:17Z
92,SLIX - Salt Lake City Internet Exchange,10000,204.228.158.22,2607:fa18:1:f00::16,46489,2017-11-16T21:55:05Z
93,Thinx,10000,212.91.0.233,2001:7f8:60::4:6489:2,46489,2017-06-16T22:02:37Z
94,Thinx,10000,212.91.0.232,2001:7f8:60::4:6489:1,46489,2017-06-16T22:02:37Z
95,TorIX,10000,206.108.35.51,2001:504:1a::35:51,46489,2016-12-07T21:59:05Z
96,TorIX,10000,206.108.35.45,2001:504:1a::35:45,46489,2016-12-07T21:59:05Z
97,VIX,20000,193.203.0.34,2001:7f8:30:0:2:2:4:6489,46489,2017-05-10T07:22:23Z
98,VIX,20000,193.203.0.230,2001:7f8:30:0:2:1:4:6489,46489,2017-05-10T07:22:23Z
